#[nu, E, S1, S2, S3]
1.000000047500000048e-03 6.822655407100000069e+00 4.546858148000000099e+00 4.547219406099999972e+00 4.551233260500000100e+00
1.000000047500000048e-03 6.888120777200000155e+00 4.590486621300000181e+00 4.590851336100000069e+00 4.594903597400000095e+00
1.000000047500000048e-03 6.953586147300000242e+00 4.634115094200000229e+00 4.634483265800000140e+00 4.638573935000000148e+00
1.000000047500000048e-03 7.019051517400000328e+00 4.677743566600000236e+00 4.678115195100000179e+00 4.682244273500000276e+00
1.000000047500000048e-03 7.084516887400000407e+00 4.721372038500000201e+00 4.721747124100000192e+00 4.725914612699999573e+00
1.000000047500000048e-03 7.149982257499999605e+00 4.765000510000000133e+00 4.765379052700000173e+00 4.769584952699999825e+00
1.000000047500000048e-03 7.215447627599999691e+00 4.808628981100000033e+00 4.809010980900000121e+00 4.813255293600000151e+00
1.000000047500000048e-03 7.280912997699999778e+00 4.852257451599999882e+00 4.852642908800000043e+00 4.856925635299999655e+00
1.000000047500000048e-03 7.346378367799999864e+00 4.895885921699999699e+00 4.896274836399999941e+00 4.900595977800000114e+00
1.000000047500000048e-03 7.411843737899999951e+00 4.939514391400000370e+00 4.939906763599999806e+00 4.944266321199999759e+00
1.000000047500000048e-03 7.477309107900000029e+00 4.983142860500000104e+00 4.983538690399999638e+00 4.987936665300000350e+00
1.000000047500000048e-03 7.542774478000000116e+00 5.026771329199999805e+00 5.027170616800000325e+00 5.031607010400000135e+00
1.000000047500000048e-03 7.608239848100000202e+00 5.070399797400000352e+00 5.070802542900000098e+00 5.075277356199999979e+00
1.000000047500000048e-03 7.673705218200000289e+00 5.114028265199999979e+00 5.114434468599999839e+00 5.118947702899999896e+00
1.000000047500000048e-03 7.739170588300000375e+00 5.157656732400000443e+00 5.158066394000000443e+00 5.162618050499999889e+00
1.000000047500000048e-03 7.804635958399999573e+00 5.201285199199999987e+00 5.201698318900000118e+00 5.206288398899999947e+00
1.000000047500000048e-03 7.870101328399999652e+00 5.244913665500000377e+00 5.245330243599999775e+00 5.249958748100000072e+00
1.000000047500000048e-03 7.935566698499999738e+00 5.288542131299999838e+00 5.288962167800000280e+00 5.293629098200000271e+00
1.000000047500000048e-03 8.001032068600000713e+00 5.332170596700000154e+00 5.332594091699999872e+00 5.337299449199999657e+00
1.000000047500000048e-03 8.066497438700000799e+00 5.375799061500000420e+00 5.376226015100000311e+00 5.380969800999999997e+00
1.000000047500000048e-03 8.131962808800000886e+00 5.419427523599999574e+00 5.419857939399999935e+00 5.424640154799999614e+00
1.000000047500000048e-03 8.197428178799999188e+00 5.463055965699999739e+00 5.463489843099999632e+00 5.468310549099999918e+00
1.000000047500000048e-03 8.262893548899999274e+00 5.506684427099999724e+00 5.507121763299999806e+00 5.511980907599999924e+00
1.000000047500000048e-03 8.328358918999999361e+00 5.550312890699999890e+00 5.550753685800000170e+00 5.555651261699999566e+00
1.000000047500000048e-03 8.393824289099999447e+00 5.593941353800000016e+00 5.594385607999999621e+00 5.599321616600000162e+00
1.000000047500000048e-03 8.459289659199999534e+00 5.637569816400000100e+00 5.638017529699999919e+00 5.642991972399999945e+00
1.000000047500000048e-03 8.524755029199999612e+00 5.681198278500000143e+00 5.681649451100000192e+00 5.686662328999999794e+00
1.000000047500000048e-03 8.590220399299999698e+00 5.724826740200000152e+00 5.725281372100000432e+00 5.730332686499999717e+00
1.000000047500000048e-03 8.655685769399999785e+00 5.768455201300000112e+00 5.768913292699999751e+00 5.774003044899999715e+00
1.000000047500000048e-03 8.721151139499999871e+00 5.812083659999999874e+00 5.812545214000000016e+00 5.817673405199999870e+00
1.000000047500000048e-03 8.786616509599999958e+00 5.855712100599999914e+00 5.856177116299999597e+00 5.861343802300000405e+00
1.000000047500000048e-03 8.852081879600000036e+00 5.899340560899999808e+00 5.899809036299999754e+00 5.905014162199999639e+00
1.000000047500000048e-03 8.917547249700000123e+00 5.942969020799999669e+00 5.943440955899999878e+00 5.948684522899999827e+00
1.000000047500000048e-03 8.983012619800000209e+00 5.986597480100000368e+00 5.987072875199999977e+00 5.992354884500000090e+00
1.000000047500000048e-03 9.048477989900000296e+00 6.030225938900000138e+00 6.030704794000000035e+00 6.036025246900000418e+00
1.000000047500000048e-03 9.113943359900000374e+00 6.073854397299999874e+00 6.074336712500000068e+00 6.079695610299999942e+00
1.000000047500000048e-03 9.179408730000000460e+00 6.117482848699999920e+00 6.117968628399999886e+00 6.123365983100000243e+00
1.000000047500000048e-03 9.244874100100000547e+00 6.161111294700000407e+00 6.161600534599999790e+00 6.167036371000000017e+00
1.000000047500000048e-03 9.310339470200000633e+00 6.204739752100000061e+00 6.205232452399999765e+00 6.210706735899999664e+00
1.000000047500000048e-03 9.375804840300000720e+00 6.248368209099999682e+00 6.248864369799999707e+00 6.254377101600000266e+00
1.000000047500000048e-03 9.441270210300000798e+00 6.291996665700000158e+00 6.292496286899999625e+00 6.298047468200000054e+00
1.000000047500000048e-03 9.506735580400000885e+00 6.335625121699999696e+00 6.336128203600000397e+00 6.341717835599999908e+00
1.000000047500000048e-03 9.572200950499999195e+00 6.379253566900000116e+00 6.379760113099999685e+00 6.385388221100000372e+00
1.000000047500000048e-03 9.637666320599999281e+00 6.422882017300000079e+00 6.423392024300000003e+00 6.429058599500000248e+00
1.000000047500000048e-03 9.703131690599999359e+00 6.466510472500000439e+00 6.467023940299999829e+00 6.472728968500000235e+00
1.000000047500000048e-03 9.768597060699999446e+00 6.510138927099999862e+00 6.510655855999999631e+00 6.516399338300000288e+00
1.000000047500000048e-03 9.834062430799999532e+00 6.553767381300000139e+00 6.554287771200000279e+00 6.560069709100000424e+00
1.000000047500000048e-03 9.899527800899999619e+00 6.597395829299999903e+00 6.597919683399999791e+00 6.603740089000000424e+00
1.000000047500000048e-03 9.964993170899999697e+00 6.641024275500000407e+00 6.641551590799999794e+00 6.647410475500000082e+00
1.000000047500000048e-03 1.003045854099999978e+01 6.684652728799999721e+00 6.685183505400000392e+00 6.691080847800000342e+00
1.000000047500000048e-03 1.009592391099999986e+01 6.728281181599999883e+00 6.728815419600000070e+00 6.734751220899999780e+00
1.000000047500000048e-03 1.016138928099999994e+01 6.771909633900000003e+00 6.772447333399999714e+00 6.778421595000000188e+00
1.000000047500000048e-03 1.022685465100000002e+01 6.815538075700000142e+00 6.816079239399999601e+00 6.822091987200000318e+00
1.000000047500000048e-03 1.029232002100000010e+01 6.859166526500000138e+00 6.859711151800000017e+00 6.865762364100000070e+00
1.000000047500000048e-03 1.035778539100000017e+01 6.902794978000000192e+00 6.903343064999999612e+00 6.909432739699999715e+00
1.000000047500000048e-03 1.042325076100000025e+01 6.946423428900000197e+00 6.946974977800000062e+00 6.953103116200000322e+00
1.000000047500000048e-03 1.048871613200000041e+01 6.990051877600000019e+00 6.990606890599999623e+00 6.996773494700000207e+00
1.000000047500000048e-03 1.055418150200000049e+01 7.033680320400000241e+00 7.034238795300000291e+00 7.040443887400000378e+00
1.000000047500000048e-03 1.061964687200000057e+01 7.077308770400000171e+00 7.077870707299999786e+00 7.084114265500000229e+00
1.000000047500000048e-03 1.068511224200000065e+01 7.120937220000000067e+00 7.121502619000000145e+00 7.127784644400000147e+00
1.000000047500000048e-03 1.075057761200000073e+01 7.164565669099999923e+00 7.165134530399999591e+00 7.171455024100000131e+00
1.000000047500000048e-03 1.081604298200000080e+01 7.208194110200000004e+00 7.208766435600000300e+00 7.215125417800000385e+00
1.000000047500000048e-03 1.088150835200000088e+01 7.251822558899999827e+00 7.252398346599999712e+00 7.258795798300000435e+00
1.000000047500000048e-03 1.094697372199999919e+01 7.295451007099999607e+00 7.296030257299999988e+00 7.302466179599999663e+00
1.000000047500000048e-03 1.101243909199999926e+01 7.339079454800000235e+00 7.339662167500000223e+00 7.346136561699999845e+00
1.000000047500000048e-03 1.107790446199999934e+01 7.382707896100000333e+00 7.383294072900000060e+00 7.389806955200000083e+00
1.000000047500000048e-03 1.114336983199999942e+01 7.426336343300000031e+00 7.426925982800000270e+00 7.433477338200000339e+00
