#[nu, E, S1, S2, S3]
1.660378136700000062e-01 6.233500003799999689e+00 1.287602540800000028e+00 5.473337490599999633e+00 5.706060135799999600e+00
1.581762413599999972e-01 6.233500003799999689e+00 1.207765855099999897e+00 5.526991791700000434e+00 5.732242521399999902e+00
1.499903655500000044e-01 6.233500003799999689e+00 1.127772232599999924e+00 5.579921583399999996e+00 5.759306353000000378e+00
1.414723891699999903e-01 6.233500003799999689e+00 1.047634698500000017e+00 5.632123147399999752e+00 5.787242324200000176e+00
1.326225222999999898e-01 6.233500003799999689e+00 9.673579304099999554e-01 5.683556278300000209e+00 5.816085962499999873e+00
1.234289561200000024e-01 6.233500003799999689e+00 8.869563967400000415e-01 5.734218173200000379e+00 5.845825602299999701e+00
1.138963628300000003e-01 6.233500003799999689e+00 8.064375201300000295e-01 5.784074418800000394e+00 5.876488234700000035e+00
1.040207823599999942e-01 6.233500003799999689e+00 7.258135652899999624e-01 5.833108258100000221e+00 5.908078351600000389e+00
9.380321771600000358e-02 6.233500003799999689e+00 6.450969946700000346e-01 5.881304151100000155e+00 5.940599030799999625e+00
8.323987231599999648e-02 6.233500003799999689e+00 5.643000724300000215e-01 5.928638160500000254e+00 5.974061945299999898e+00
7.233201645700000626e-02 6.233500003799999689e+00 4.834365193899999857e-01 5.975096928100000149e+00 6.008466732499999630e+00
6.108280822199999710e-02 6.233500003799999689e+00 4.025199125999999739e-01 6.020664600299999947e+00 6.043815668899999771e+00
4.947987580600000240e-02 6.233500003799999689e+00 3.215657359299999851e-01 6.065325331300000400e+00 6.080109116600000085e+00
3.753538640899999751e-02 6.233500003799999689e+00 2.405875732099999886e-01 6.109065316599999740e+00 6.117347296200000173e+00
2.524270859499999978e-02 6.233500003799999689e+00 1.596013859700000093e-01 6.151876610999999606e+00 6.155522191400000231e+00
1.260552567499999971e-02 6.233500003799999689e+00 7.862199471799999340e-02 6.193746651199999675e+00 6.194631544900000009e+00
-3.793736635900000218e-04 6.233500003799999689e+00 -2.334797651799999825e-03 6.234667105399999798e+00 6.234667885800000420e+00
